image_name,question,answer
44b8b019.jpg, What color are the leaves?, Green
44b8b019.jpg, Are there water droplets?, Yes
44b8b019.jpg, What is the pattern?, Leaves
44b8b019.jpg, What is the background color?, Black
44b8b019.jpg, Is the case floral?, Yes
a0dc87bb.jpg, What is the dominant color?, Yellow
a0dc87bb.jpg, What is the color of the bottom section?, Black
a0dc87bb.jpg, What is the color of the right side?, Red
a0dc87bb.jpg, What is the number of visible colors?, Three
a0dc87bb.jpg, Is there white color present?, Yes
3c5b50ef.jpg, What is the background color?, Blue
3c5b50ef.jpg, What is the pattern?, Butterflies
3c5b50ef.jpg, How many butterflies are there?, Three
3c5b50ef.jpg, What is the butterfly color?, Blue
3c5b50ef.jpg, Is the case transparent?, Yes
028022f2.jpg, What color is the case?, Purple
028022f2.jpg, What is written in yellow?, ENJOY
028022f2.jpg, What is the case for?, Phone
028022f2.jpg, What is the case material?, Plastic
028022f2.jpg, What is the case's design?, Printed
01bd5c1d.jpg, What color is the design?, White
01bd5c1d.jpg, What is the design's color?, White
01bd5c1d.jpg, What is the case's color?, Black
01bd5c1d.jpg, What is the pattern's color?, White
01bd5c1d.jpg, What is the background color?, Black
01bd5c1d.jpg, What is the design?, Floral
01bd5c1d.jpg, What is the pattern?, Floral
01bd5c1d.jpg, What is the case's pattern?, Floral
01bd5c1d.jpg, What is the background?, Black
01bd5c1d.jpg, What is the case's background?, Black
fc8a2b99.jpg, What is the case's pattern?, Triangles
fc8a2b99.jpg, What color is the largest triangle?, Yellow
fc8a2b99.jpg, What is the case's primary color?, Multicolor
fc8a2b99.jpg, What shape is repeated?, Triangle
fc8a2b99.jpg, What is the case's design?, Geometric
5abe2709.jpg, What color is the case?, Black
5abe2709.jpg, What is the case made of?, Leather
5abe2709.jpg, Is there a camera hole?, Yes
5abe2709.jpg, Is the case open or closed?, Closed
5abe2709.jpg, Is there a clasp?, Yes
d0421259.jpg, What is the color of the background?, White
d0421259.jpg, What is written on the case?, Magic
d0421259.jpg, What is the color of the letters?, Brown
d0421259.jpg, What is the case made of?, Wood
d0421259.jpg, What is the first word?, Black
0ad8ce00.jpg, What color is the cable?, White
0ad8ce00.jpg, What is printed on the cable?, amazonbasics
0ad8ce00.jpg, What shape is the connector on the left?, Rectangular
0ad8ce00.jpg, What shape is the connector on the right?, Oval
0ad8ce00.jpg, What type of connector is on the left?, USB
d116f218.jpg, What is the color of the flowers?, blue
d116f218.jpg, What is the background color?, teal
d116f218.jpg, What is the product?, phone
d116f218.jpg, What is the flower type?, forgetmenot
d116f218.jpg, What is the case's material?, plastic
7865685c.jpg, What is the background color?, Black
7865685c.jpg, What is the design made of?, Butterflies
7865685c.jpg, What is the design depicting?, Girl
7865685c.jpg, What is the color of the butterflies?, White
7865685c.jpg, What is the material of the case?, Plastic
c50c9eb5.jpg, Is the rug rectangular?, Yes
c50c9eb5.jpg, What color is the chair?, Brown
c50c9eb5.jpg, What is on the table?, Book
c50c9eb5.jpg, What color is the rug?, Multicolor
c50c9eb5.jpg, Is there a chair in the image?, Yes
c50c9eb5.jpg, What is the shape of the table?, Round
5074399c.jpg, What color is the pencil?, Silver
5074399c.jpg, What is the pencil's tip?, Retracted
5074399c.jpg, What is the pencil's material?, Metal
5074399c.jpg, What is the pencil's shape?, Cylindrical
5074399c.jpg, What is the pencil's brand?, AmazonBasics
ba078df4.jpg, What color is the belt?, Black
ba078df4.jpg, What is the belt made of?, Leather
ba078df4.jpg, What is the belt's style?, Double
ba078df4.jpg, What is the product type?, Accessory
ba078df4.jpg, What is the belt's fastening?, Double
113cce67.jpg, What is the shoe's closure?, Slip-on
113cce67.jpg, What shape is the toe?, Round
113cce67.jpg, What is the shoe's color?, Navy
113cce67.jpg, What is the sole color?, White
113cce67.jpg, What is the shoe's style?, Running
7eb79b42.jpg, What is the pattern?, Blocks
7eb79b42.jpg, What is the case's color?, Gray
7eb79b42.jpg, What is the case made of?, Plastic
7eb79b42.jpg, What is the case's shape?, Rectangle
7eb79b42.jpg, What is the case's material?, Hard
25548d6d.jpg, What is the shoe's color?, Navy
25548d6d.jpg, What is the sole's color?, White
25548d6d.jpg, What is the closure type?, Lace-up
25548d6d.jpg, What is the shoe style?, Running
0a6b9551.jpg, What color is the cable?, Black
0a6b9551.jpg, What shape is the connector?, Oval
0a6b9551.jpg, What is the cable's color?, Black
0a6b9551.jpg, What color is the plug?, Black
0a6b9551.jpg, What is the cable's shade?, Black
436ca621.jpg, What is the dominant color?, Red
436ca621.jpg, What is the shape of the object?, Rectangle
436ca621.jpg, What is the pattern?, Abstract
436ca621.jpg, What is the object?, Case
436ca621.jpg, What is the material?, Plastic
eab4e765.jpg, What is the case's background?, Forest
eab4e765.jpg, What is the logo's color?, Silver
eab4e765.jpg, What is written on the case?, Explor
eab4e765.jpg, What is the case's design?, Trees
eab4e765.jpg, What is the case's material?, Hard
999adc74.jpg, What is the color of the fruit?, Red
999adc74.jpg, What is the object on the right?, Lamp
999adc74.jpg, What is the object on the left?, Pomegranate
999adc74.jpg, What is the number of whole pomegranates?, One
999adc74.jpg, What is the number of fruits?, Two
838acee1.jpg, What color is the case?, Navy
838acee1.jpg, What is printed on the case?, Text
838acee1.jpg, What shape is the case?, Rectangle
838acee1.jpg, What is the case made for?, Phone
d6945f3a.jpg, What is the product's pattern?, Mashup
d6945f3a.jpg, What is the product's color?, Brown
d6945f3a.jpg, What is the product?, Case
b175cbd0.jpg, What shape is repeated?, Triangle
b175cbd0.jpg, What color is the case mostly?, Gray
b175cbd0.jpg, Is the case patterned?, Yes
b175cbd0.jpg, Is the case hard?, Yes
b175cbd0.jpg, Is the case for a phone?, Yes
acded426.jpg, What is the case's pattern?, Geometric
acded426.jpg, What is the color of the sky?, Orange
acded426.jpg, What is the color of the tower?, Black
acded426.jpg, What is the case's material?, Plastic
acded426.jpg, How many towers are visible?, Two
dd665fe1.jpg, What is the color of the footwear?, Tan
dd665fe1.jpg, What kind of toe does the footwear have?, Round
dd665fe1.jpg, What is the footwear's closure type?, Slip-on
dd665fe1.jpg, What is the footwear's style?, Slippers
38abc40a.jpg, What shape is yellow?, heart
38abc40a.jpg, What color are the stars?, pink
38abc40a.jpg, What letter is on the case?, I
38abc40a.jpg, What is the background color?, black
38abc40a.jpg, What is the case's pattern?, stars
71dbf125.jpg, What is the main color?, Blue
71dbf125.jpg, What is the object in the image?, Phone
71dbf125.jpg, What is the material of the dock?, Wood
71dbf125.jpg, What is the color of the sky?, Blue
71dbf125.jpg, What is the background?, Mountain
41720f69.jpg, What is the case's pattern?, Squares
41720f69.jpg, What is the case's color?, Multicolor
41720f69.jpg, What is the brand logo?, Apple
41720f69.jpg, What is the case's material?, Hard
41720f69.jpg, What is the case's shape?, Rectangular
bc1a3f35.jpg, What color is the phone case?, Pink
bc1a3f35.jpg, What animal is on the case?, Cat
bc1a3f35.jpg, What color are the cat's eyes?, Blue
bc1a3f35.jpg, What color is the cat?, White
bc1a3f35.jpg, What is the cat holding?, Strawberry
50c64e47.jpg, What color is the top half?, Teal
50c64e47.jpg, What color is the bottom half?, Pink
50c64e47.jpg, What is on the case?, Car
50c64e47.jpg, What shape is the case?, Rectangle
50c64e47.jpg, What is the car's color?, Teal
e0170070.jpg, What is the pattern?, Bricks
e0170070.jpg, What color are the bricks?, Red
e0170070.jpg, What shape is the object?, Rectangle
e0170070.jpg, What is the object?, Phone
e0170070.jpg, What is the background color?, White
c8760d92.jpg, What color are the letters?, Brown
c8760d92.jpg, What word is on the top row?, Black
c8760d92.jpg, What word is on the middle row?, Girl
c8760d92.jpg, What word is on the bottom row?, Magic
c8760d92.jpg, What is the case's background color?, White
50b56194.jpg, What is the color of the phone case?, blue
50b56194.jpg, What letter is on the case?, E
50b56194.jpg, What is the pattern color?, gold
643ed8a2.jpg, What is the background color?, Black
643ed8a2.jpg, What is the shape of the white animal?, Unicorn
643ed8a2.jpg, What is the shape with multiple colors?, Rainbow
643ed8a2.jpg, What shape is pink?, Heart
643ed8a2.jpg, What shape is yellow?, Star
47368517.jpg, What color is the background?, Black
47368517.jpg, What is the pattern color?, White
47368517.jpg, Is the pattern floral?, Yes
47368517.jpg, Is the case decorated?, Yes
47368517.jpg, What shape is the pattern?, Circle
5fe34904.jpg, What animal is on the case?, tiger
5fe34904.jpg, What is the case's pattern?, striped
5fe34904.jpg, What is the case's color?, multicolor
56715ff1.jpg, What is the flower color?, Blue
56715ff1.jpg, What is the background color?, Teal
56715ff1.jpg, Is the case floral?, Yes
56715ff1.jpg, What is the case's shape?, Rectangle
56715ff1.jpg, Are there stems?, Yes
8e4dc347.jpg, What color is the left side?, Orange
8e4dc347.jpg, What is the case's pattern?, Abstract
8e4dc347.jpg, What is the dominant color?, Blue
8e4dc347.jpg, What is the case's material?, Hard
8e4dc347.jpg, What is the case's style?, Designer
2d8a7b7d.jpg, What color is the background?, Pink
2d8a7b7d.jpg, What is written on the case?, Girl
2d8a7b7d.jpg, What is the case made of?, Silicon
2d8a7b7d.jpg, What is the pattern on the case?, Sparkle
2d8a7b7d.jpg, What is the color of the text?, Black
0c74dc68.jpg, What is the shoe's color?, maroon
0c74dc68.jpg, What is the sole color?, white
0c74dc68.jpg, What is the shoe style?, sneakers
0c74dc68.jpg, What is the toe shape?, round
