image_name,question,answer
d6aff1e0.jpg,What color is the device?,Blue
d6aff1e0.jpg,What shape are the attachments?,Round
03acb601.jpg,What shape is the heart?,Red
03acb601.jpg,What color is the background?,Yellow
03acb601.jpg,What is the product?,Case
df32b867.jpg,What color is the feeder?,Brown
df32b867.jpg,What is the feeder made of?,Metal
df32b867.jpg,What shape is the feeder?,Round
df32b867.jpg,Is the feeder hanging?,Yes
df32b867.jpg,What is inside the feeder?,Nothing
1ff9ea0b.jpg,What color are the shoes?,Blue
1ff9ea0b.jpg,What is the sole material?,Rubber
1ff9ea0b.jpg,What type of closure is present?,Slip-on
1ff9ea0b.jpg,What is the sole style?,Platform
1ff9ea0b.jpg,What is the product type?,Shoes
24a5ef4e.jpg,What is the color of the bulbs?,White
24a5ef4e.jpg,How many bulbs are there?,Sixteen
24a5ef4e.jpg,What shape are the bulbs?,A19
7b1a3a0f.jpg,What color is on the left?,blue
7b1a3a0f.jpg,What color is on the right?,red
7b1a3a0f.jpg,What is the product?,case
7b1a3a0f.jpg,What is the pattern?,paint
7b1a3a0f.jpg,What is the material?,hard
b2ae814b.jpg,What animal is pictured?,Kitten
b2ae814b.jpg,What is the case's pattern?,Kitten
b2ae814b.jpg,What is the case's color?,Multicolor
b2ae814b.jpg,What is the case made of?,Silicone
b2ae814b.jpg,What is covering the kitten?,Blanket
2f2584b5.jpg,What is the color of the heart?,red
2f2584b5.jpg,What is printed below the heart?,mustache
2f2584b5.jpg,What is the color of the mustache?,black
2f2584b5.jpg,What is the color of the mug?,white
2f2584b5.jpg,What is printed on the mug?,text
d8546c54.jpg,What shape is in the center?,heart
d8546c54.jpg,What is the case's color?,multicolor
d8546c54.jpg,What is the case made of?,silicon
d8546c54.jpg,What is the product?,case
f830eb7a.jpg,What color is the shoe?,Beige
f830eb7a.jpg,What type of footwear is this?,Shoe
4a5b8966.jpg,What color are the flowers?,Purple
4a5b8966.jpg,What is in the middle of the flowers?,Tree
4a5b8966.jpg,What is the background color?,Purple
4a5b8966.jpg,What is the case design?,Floral
4a5b8966.jpg,What is the case material?,Plastic
07b54b2f.jpg,What color is the light?,Orange
07b54b2f.jpg,What shape is the light?,Hexagon
07b54b2f.jpg,What is the light on?,Stand
3fd7e8e1.jpg,What color is the background?,Black
3fd7e8e1.jpg,What color is the tiger design?,White
3fd7e8e1.jpg,Is the design symmetrical?,Yes
3fd7e8e1.jpg,Is the case rectangular?,Yes
3fd7e8e1.jpg,Is the case patterned?,Yes
5fbdb2d3.jpg,What is the product type?,shoes
5fbdb2d3.jpg,What is the heel shape?,stacked
